datetime,price
2021-03-19 12:20:00,130.24
2021-03-19 12:25:00,130.165
2021-03-19 12:30:00,130.19
2021-03-19 12:35:00,130.14
2021-03-19 12:40:00,130.06
2021-03-19 12:45:00,130.39
2021-03-19 12:50:00,130.27
2021-03-19 12:55:00,130.24
2021-03-19 13:00:00,130.16
2021-03-19 13:05:00,130.12
2021-03-19 13:10:00,130.08
2021-03-19 13:15:00,130.07
2021-03-19 13:20:00,130.1
2021-03-19 13:25:00,130.145
2021-03-19 13:30:00,130.165
2021-03-19 13:35:00,130.05
2021-03-19 13:40:00,130.08
2021-03-19 13:45:00,130.07
2021-03-19 13:50:00,130.31
2021-03-19 13:55:00,130.27
2021-03-19 14:00:00,130.315
2021-03-19 14:05:00,130.3
2021-03-19 14:10:00,130.2
2021-03-19 14:15:00,130.17
2021-03-19 14:20:00,130.11
2021-03-19 14:25:00,130.0501
2021-03-19 14:30:00,130.15
2021-03-19 14:35:00,130.09
2021-03-19 14:40:00,130.01
2021-03-19 14:45:00,130.01
2021-03-19 14:50:00,130.0462
2021-03-19 14:55:00,129.89
2021-03-19 15:00:00,130.0
2021-03-19 15:05:00,129.64
2021-03-19 15:10:00,129.6
2021-03-19 15:15:00,129.66
2021-03-19 15:20:00,129.5782
2021-03-19 15:25:00,129.42
2021-03-19 15:30:00,129.53
2021-03-19 15:35:00,129.51
2021-03-19 15:40:00,129.15
2021-03-19 15:45:00,129.06
2021-03-19 15:50:00,129.045
2021-03-19 15:55:00,128.73
2021-03-19 16:00:00,128.9
2021-03-19 16:05:00,128.9
2021-03-19 16:10:00,128.9
2021-03-19 16:20:00,128.8
2021-03-19 16:25:00,128.76
2021-03-19 16:30:00,128.85
2021-03-19 16:35:00,128.85
2021-03-19 16:40:00,128.85
2021-03-19 16:50:00,129.0
2021-03-19 16:55:00,129.14
2021-03-19 17:05:00,128.86
2021-03-19 17:30:00,128.9
2021-03-19 18:50:00,128.9
2021-03-22 06:40:00,128.58
2021-03-22 07:05:00,129.19
2021-03-22 08:05:00,129.03
2021-03-22 08:20:00,129.25
2021-03-22 08:40:00,128.9
2021-03-22 09:00:00,128.75
2021-03-22 09:30:00,128.4
2021-03-22 09:35:00,128.25
2021-03-22 09:40:00,128.19
2021-03-22 09:45:00,128.57
2021-03-22 09:50:00,129.01
2021-03-22 09:55:00,129.2
2021-03-22 10:00:00,129.1267
2021-03-22 10:05:00,128.985
2021-03-22 10:10:00,129.04
2021-03-22 10:15:00,129.39
2021-03-22 10:20:00,129.33
2021-03-22 10:25:00,129.35
2021-03-22 10:30:00,129.3798
2021-03-22 10:35:00,129.54
2021-03-22 10:40:00,129.64
2021-03-22 10:45:00,129.6
