time,open,high,low,close,volume
2021-04-01 06:45:00,133.6,133.6,133.6,133.6,794
2021-04-01 04:15:00,133.36,133.36,133.36,133.36,383
2021-03-31 18:30:00,133.24,133.24,133.24,133.24,100
2021-03-31 17:15:00,133.22,133.22,133.22,133.22,200
2021-03-31 17:00:00,133.22,133.22,133.22,133.22,1007
2021-03-31 16:45:00,133.26,133.53,133.26,133.53,1752
2021-03-31 16:15:00,133.26,133.26,133.2,133.2,251162
2021-03-31 16:00:00,133.58,133.74,133.17,133.27,647951
2021-03-31 15:45:00,133.69,133.7972,133.55,133.59,135431
2021-03-31 15:30:00,133.79,133.9,133.67,133.69,83696
2021-03-31 15:15:00,133.83,133.89,133.76,133.78,84201
2021-03-31 15:00:00,133.87,133.91,133.73,133.85,74383
2021-03-31 14:45:00,133.86,133.9,133.7,133.89,70628
2021-03-31 14:30:00,133.71,133.88,133.65,133.8401,68475
2021-03-31 14:15:00,133.77,133.805,133.635,133.72,86818
2021-03-31 14:00:00,133.645,133.8339,133.62,133.78,48085
2021-03-31 13:45:00,133.69,133.78,133.62,133.67,65692
2021-03-31 13:30:00,133.64,133.7,133.5649,133.69,43742
2021-03-31 13:15:00,133.52,133.75,133.441,133.66,57476
2021-03-31 13:00:00,133.29,133.58,133.27,133.51,64393
2021-03-31 12:45:00,133.37,133.42,133.17,133.3227,62503
2021-03-31 12:30:00,133.53,133.5399,133.28,133.375,63454
2021-03-31 12:15:00,133.31,133.54,133.31,133.53,84616
2021-03-31 12:00:00,133.13,133.47,133.13,133.32,96293
2021-03-31 11:45:00,133.2,133.33,133.03,133.1,164457
2021-03-31 11:30:00,133.28,133.46,133.1,133.215,184536
2021-03-31 11:15:00,133.55,133.84,133.08,133.2967,222410
2021-03-31 11:00:00,133.13,133.5662,132.92,133.54,169083
2021-03-31 10:45:00,133.09,133.5733,133.07,133.14,132935
2021-03-31 10:30:00,132.85,133.249,132.795,133.1091,171027
2021-03-31 10:15:00,133.11,133.17,132.71,132.85,303098
2021-03-31 10:00:00,133.67,133.7,133.08,133.08,304876
2021-03-31 09:45:00,134.54,134.71,133.68,133.68,397594
2021-03-31 09:30:00,134.33,134.33,134.32,134.32,860
2021-03-31 09:00:00,134.55,134.55,134.55,134.55,111
2021-03-31 08:30:00,134.62,134.62,134.52,134.52,1540
2021-03-31 08:15:00,134.62,134.75,134.62,134.75,524
2021-03-31 07:45:00,134.63,134.63,134.63,134.63,212
2021-03-31 07:15:00,134.71,134.71,134.53,134.53,763
2021-03-31 07:00:00,134.48,134.48,134.48,134.48,300
